CountyCode,log_permil
51143,-2.1761630627357307
02220,-2.178155014615869
21141,-2.182035734592692
24510,-2.1869692724469654
48471,-2.190032106754715
13045,-2.190888306185307
01125,-2.192876975947351
31045,-2.1948885175386716
25025,-2.1987942260189772
29186,-2.198889856655281
13009,-2.2004194682327385
13051,-2.20097448209119
19147,-2.2024332110436045
01101,-2.203202231067184
47187,-2.21150636462491
05125,-2.211675217634203
05119,-2.213245426244825
48043,-2.2192034840549946
27117,-2.2194208517332767
39043,-2.239472221801153
30001,-2.240816066596414
08019,-2.2445321615454286
41039,-2.2486405137755754
48163,-2.2489733235453966
01087,-2.249342531598326
47001,-2.250449338573517
45071,-2.253368587954259
41017,-2.2557527478876267
41071,-2.256398355149273
51700,-2.258605706874164
49019,-2.2595732024007544
30053,-2.2648313033821297
47149,-2.2651784833594975
37081,-2.2673991919905387
13143,-2.2701307694404362
37183,-2.271353345863936
22033,-2.2739999687481083
48209,-2.27589882773154
45075,-2.27900935646534
29189,-2.281362457963937
16057,-2.2822803396536813
39013,-2.2834459598226644
39041,-2.28474184486017
51121,-2.2885064523844862
54029,-2.288824177744009
16001,-2.2892251337365765
06037,-2.3023794505493123
45047,-2.304483290277126
29093,-2.304782676537533
29089,-2.3083683377497732
21073,-2.3137228374045016
29079,-2.3189504470803097
27169,-2.3213675922934125
39049,-2.322164735279113
37063,-2.3230802908653656
19013,-2.3246777056226406
29217,-2.338097013995405
40109,-2.3456062675442406
21157,-2.347080332880597
17029,-2.3483803005644788
22055,-2.350952807695818
16085,-2.3509942322017334
42101,-2.3535282589797064
51730,-2.363429298543345
13109,-2.367436065313662
28081,-2.3676820519262023
31055,-2.367715386115417
40027,-2.3718779194899953
31145,-2.372297705405346
39035,-2.376790104774246
22093,-2.3775534092313513
37189,-2.378100645470191
22099,-2.379675755358609
51059,-2.3836400354378116
47141,-2.383914884108128
39173,-2.384310998679296
34007,-2.3845571984112555
17157,-2.386343964094111
22105,-2.38807447900946
16013,-2.388349859954839
13053,-2.390779103729962
40069,-2.4057732507902148
34017,-2.40824834970642
36011,-2.409015036609892
20015,-2.413306214893968
29027,-2.4220999614951877
19103,-2.422396838656766
41049,-2.422499189659383
45039,-2.427145112929453
13281,-2.432823569917775
47157,-2.4334025929263023
48131,-2.4360664843685265
48113,-2.437498197281879
